<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ2,1,20121008,133200,148000.00000,148020.00000,147960.00000,147990.00000,254
RIZ2,1,20121008,133300,147980.00000,148030.00000,147970.00000,148000.00000,196
RIZ2,1,20121008,133400,148000.00000,148060.00000,147980.00000,148050.00000,793
RIZ2,1,20121008,133500,148050.00000,148070.00000,148010.00000,148070.00000,472
RIZ2,1,20121008,133600,148070.00000,148080.00000,148000.00000,148040.00000,608
RIZ2,1,20121008,133700,148040.00000,148050.00000,147970.00000,147970.00000,368
RIZ2,1,20121008,133800,147980.00000,148020.00000,147920.00000,147930.00000,1001
RIZ2,1,20121008,133900,147940.00000,148030.00000,147940.00000,148010.00000,383
RIZ2,1,20121008,134000,148020.00000,148080.00000,147970.00000,148080.00000,1026
RIZ2,1,20121008,134100,148060.00000,148070.00000,148020.00000,148020.00000,317
RIZ2,1,20121008,134200,148020.00000,148050.00000,148000.00000,148000.00000,170
RIZ2,1,20121008,134300,148000.00000,148030.00000,148000.00000,148020.00000,178
RIZ2,1,20121008,134400,148030.00000,148050.00000,148020.00000,148050.00000,154
RIZ2,1,20121008,134500,148050.00000,148060.00000,148030.00000,148030.00000,221
RIZ2,1,20121008,134600,148040.00000,148050.00000,147990.00000,147990.00000,478
RIZ2,1,20121008,134700,148000.00000,148060.00000,147990.00000,148060.00000,145
RIZ2,1,20121008,134800,148050.00000,148130.00000,148030.00000,148090.00000,1335
RIZ2,1,20121008,134900,148080.00000,148080.00000,147940.00000,147970.00000,909
RIZ2,1,20121008,135000,147960.00000,147980.00000,147900.00000,147920.00000,965
RIZ2,1,20121008,135100,147920.00000,148000.00000,147870.00000,147980.00000,1796
RIZ2,1,20121008,135200,147970.00000,148040.00000,147950.00000,148030.00000,366
RIZ2,1,20121008,135300,148030.00000,148050.00000,147970.00000,147990.00000,398
RIZ2,1,20121008,135400,147990.00000,148080.00000,147960.00000,148060.00000,465
RIZ2,1,20121008,135500,148060.00000,148080.00000,148000.00000,148000.00000,316
RIZ2,1,20121008,135600,148000.00000,148030.00000,148000.00000,148000.00000,137
RIZ2,1,20121008,135700,148000.00000,148040.00000,147990.00000,148030.00000,246
RIZ2,1,20121008,135800,148020.00000,148040.00000,147970.00000,147970.00000,355
RIZ2,1,20121008,135900,147970.00000,148020.00000,147950.00000,147980.00000,978
RIZ2,1,20121008,140300,148010.00000,148060.00000,147840.00000,147870.00000,2403
RIZ2,1,20121008,140400,147850.00000,147890.00000,147740.00000,147830.00000,2752
RIZ2,1,20121008,140500,147830.00000,147920.00000,147800.00000,147920.00000,1215
RIZ2,1,20121008,140600,147920.00000,147930.00000,147840.00000,147860.00000,466
RIZ2,1,20121008,140700,147860.00000,147880.00000,147820.00000,147850.00000,423
RIZ2,1,20121008,140800,147850.00000,147880.00000,147810.00000,147830.00000,535
RIZ2,1,20121008,140900,147820.00000,147850.00000,147730.00000,147780.00000,1308
RIZ2,1,20121008,141000,147780.00000,147860.00000,147780.00000,147800.00000,816
RIZ2,1,20121008,141100,147800.00000,147850.00000,147750.00000,147790.00000,766
RIZ2,1,20121008,141200,147780.00000,147890.00000,147780.00000,147820.00000,1259
RIZ2,1,20121008,141300,147830.00000,147900.00000,147830.00000,147890.00000,331
RIZ2,1,20121008,141400,147880.00000,147920.00000,147870.00000,147900.00000,592
RIZ2,1,20121008,141500,147910.00000,147990.00000,147880.00000,147950.00000,825
RIZ2,1,20121008,141600,147950.00000,148050.00000,147940.00000,147980.00000,1482
RIZ2,1,20121008,141700,147990.00000,148000.00000,147940.00000,147940.00000,391
RIZ2,1,20121008,141800,147950.00000,147960.00000,147740.00000,147780.00000,2167
RIZ2,1,20121008,141900,147790.00000,147810.00000,147600.00000,147630.00000,3955
RIZ2,1,20121008,142000,147640.00000,147670.00000,147600.00000,147640.00000,1590
RIZ2,1,20121008,142100,147640.00000,147650.00000,147520.00000,147550.00000,3765
RIZ2,1,20121008,142200,147560.00000,147610.00000,147540.00000,147560.00000,1227
RIZ2,1,20121008,142300,147580.00000,147580.00000,147490.00000,147540.00000,2820
RIZ2,1,20121008,142400,147550.00000,147670.00000,147520.00000,147620.00000,1959
RIZ2,1,20121008,142500,147620.00000,147670.00000,147610.00000,147660.00000,775
RIZ2,1,20121008,142600,147670.00000,147750.00000,147640.00000,147730.00000,1075
RIZ2,1,20121008,142700,147720.00000,147730.00000,147650.00000,147650.00000,766
RIZ2,1,20121008,142800,147650.00000,147680.00000,147610.00000,147660.00000,1448
RIZ2,1,20121008,142900,147660.00000,147720.00000,147620.00000,147660.00000,1167
RIZ2,1,20121008,143000,147660.00000,147750.00000,147620.00000,147740.00000,1168
RIZ2,1,20121008,143100,147750.00000,147750.00000,147700.00000,147730.00000,435
RIZ2,1,20121008,143200,147720.00000,147740.00000,147670.00000,147730.00000,637
RIZ2,1,20121008,143300,147730.00000,147790.00000,147700.00000,147720.00000,976
RIZ2,1,20121008,143400,147730.00000,147770.00000,147690.00000,147730.00000,497
RIZ2,1,20121008,143500,147740.00000,147750.00000,147680.00000,147680.00000,430
RIZ2,1,20121008,143600,147700.00000,147710.00000,147610.00000,147630.00000,782
RIZ2,1,20121008,143700,147630.00000,147690.00000,147630.00000,147660.00000,402
RIZ2,1,20121008,143800,147650.00000,147730.00000,147650.00000,147710.00000,475
RIZ2,1,20121008,143900,147710.00000,147710.00000,147670.00000,147680.00000,132
RIZ2,1,20121008,144000,147660.00000,147660.00000,147580.00000,147640.00000,960
RIZ2,1,20121008,144100,147640.00000,147670.00000,147630.00000,147650.00000,193
RIZ2,1,20121008,144200,147660.00000,147710.00000,147640.00000,147700.00000,430
RIZ2,1,20121008,144300,147710.00000,147730.00000,147690.00000,147700.00000,344
RIZ2,1,20121008,144400,147710.00000,147740.00000,147700.00000,147720.00000,268
RIZ2,1,20121008,144500,147730.00000,147760.00000,147710.00000,147760.00000,277
RIZ2,1,20121008,144600,147750.00000,147770.00000,147710.00000,147710.00000,367
RIZ2,1,20121008,144700,147710.00000,147750.00000,147690.00000,147740.00000,354
RIZ2,1,20121008,144800,147740.00000,147770.00000,147730.00000,147760.00000,508
RIZ2,1,20121008,144900,147750.00000,147900.00000,147750.00000,147850.00000,2108
RIZ2,1,20121008,145000,147850.00000,148030.00000,147850.00000,148010.00000,3598
RIZ2,1,20121008,145100,148020.00000,148120.00000,148000.00000,148070.00000,2168
RIZ2,1,20121008,145200,148050.00000,148080.00000,147980.00000,148020.00000,1162
RIZ2,1,20121008,145300,148010.00000,148080.00000,147980.00000,148030.00000,1290
RIZ2,1,20121008,145400,148040.00000,148050.00000,147990.00000,148040.00000,1013
RIZ2,1,20121008,145500,148030.00000,148060.00000,147930.00000,147950.00000,1594
RIZ2,1,20121008,145600,147950.00000,148010.00000,147950.00000,147970.00000,469
RIZ2,1,20121008,145700,147990.00000,148060.00000,147970.00000,148060.00000,916
RIZ2,1,20121008,145800,148050.00000,148070.00000,147980.00000,148050.00000,881
RIZ2,1,20121008,145900,148060.00000,148170.00000,148050.00000,148170.00000,2345
RIZ2,1,20121008,150000,148160.00000,148180.00000,148040.00000,148050.00000,2111
RIZ2,1,20121008,150100,148060.00000,148100.00000,148030.00000,148060.00000,1260
RIZ2,1,20121008,150200,148040.00000,148090.00000,148030.00000,148060.00000,664
RIZ2,1,20121008,150300,148060.00000,148080.00000,147980.00000,148020.00000,1013
RIZ2,1,20121008,150400,148020.00000,148070.00000,148020.00000,148030.00000,288
RIZ2,1,20121008,150500,148010.00000,148040.00000,148000.00000,148000.00000,395
RIZ2,1,20121008,150600,148000.00000,148040.00000,147970.00000,147970.00000,656
RIZ2,1,20121008,150700,147980.00000,147980.00000,147940.00000,147980.00000,799
RIZ2,1,20121008,150800,147970.00000,147980.00000,147940.00000,147970.00000,232
RIZ2,1,20121008,150900,147960.00000,147990.00000,147950.00000,147980.00000,258
RIZ2,1,20121008,151000,147980.00000,147990.00000,147950.00000,147990.00000,873
RIZ2,1,20121008,151100,147990.00000,147990.00000,147950.00000,147980.00000,264
RIZ2,1,20121008,151200,147980.00000,148030.00000,147980.00000,148030.00000,1222
RIZ2,1,20121008,151300,148010.00000,148060.00000,147950.00000,147970.00000,1045
RIZ2,1,20121008,151400,147960.00000,148010.00000,147960.00000,147970.00000,225
RIZ2,1,20121008,151500,147990.00000,147990.00000,147800.00000,147880.00000,3083
RIZ2,1,20121008,151600,147870.00000,147920.00000,147850.00000,147900.00000,787
RIZ2,1,20121008,151700,147890.00000,147940.00000,147870.00000,147940.00000,284
RIZ2,1,20121008,151800,147940.00000,147950.00000,147880.00000,147880.00000,334
RIZ2,1,20121008,151900,147880.00000,147890.00000,147770.00000,147790.00000,1735
RIZ2,1,20121008,152000,147800.00000,147850.00000,147760.00000,147810.00000,640
RIZ2,1,20121008,152100,147810.00000,147870.00000,147800.00000,147850.00000,504
RIZ2,1,20121008,152200,147850.00000,147970.00000,147850.00000,147910.00000,1380
RIZ2,1,20121008,152300,147910.00000,147970.00000,147870.00000,147950.00000,585
RIZ2,1,20121008,152400,147960.00000,147960.00000,147850.00000,147900.00000,688
RIZ2,1,20121008,152500,147890.00000,147900.00000,147870.00000,147870.00000,183
RIZ2,1,20121008,152600,147870.00000,147920.00000,147870.00000,147890.00000,192
RIZ2,1,20121008,152700,147890.00000,147950.00000,147890.00000,147950.00000,399
RIZ2,1,20121008,152800,147940.00000,148010.00000,147930.00000,148010.00000,1095
RIZ2,1,20121008,152900,147990.00000,147990.00000,147860.00000,147870.00000,612
RIZ2,1,20121008,153000,147860.00000,147870.00000,147770.00000,147870.00000,1220
RIZ2,1,20121008,153100,147870.00000,147940.00000,147850.00000,147940.00000,755
RIZ2,1,20121008,153200,147940.00000,148070.00000,147920.00000,148020.00000,1694
RIZ2,1,20121008,153300,148020.00000,148090.00000,148010.00000,148040.00000,766
