<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20121008,104053,158.20000,400
GAZP,0,20121008,104057,158.23000,90
GAZP,0,20121008,104057,158.23000,200
GAZP,0,20121008,104057,158.24000,300
GAZP,0,20121008,104057,158.24000,9000
GAZP,0,20121008,104057,158.25000,280
GAZP,0,20121008,104057,158.26000,130
GAZP,0,20121008,104101,158.20000,250
GAZP,0,20121008,104101,158.20000,300
GAZP,0,20121008,104110,158.20000,400
GAZP,0,20121008,104110,158.20000,400
GAZP,0,20121008,104111,158.20000,200
GAZP,0,20121008,104112,158.25000,10
GAZP,0,20121008,104113,158.20000,240
GAZP,0,20121008,104114,158.20000,100
GAZP,0,20121008,104115,158.20000,4000
GAZP,0,20121008,104115,158.20000,400
GAZP,0,20121008,104115,158.20000,200
GAZP,0,20121008,104116,158.20000,200
GAZP,0,20121008,104116,158.20000,400
GAZP,0,20121008,104116,158.20000,20
GAZP,0,20121008,104119,158.20000,1000
GAZP,0,20121008,104120,158.20000,400
GAZP,0,20121008,104120,158.20000,200
GAZP,0,20121008,104123,158.25000,10
GAZP,0,20121008,104137,158.21000,10
GAZP,0,20121008,104138,158.20000,400
GAZP,0,20121008,104144,158.25000,10
GAZP,0,20121008,104155,158.20000,400
GAZP,0,20121008,104156,158.25000,10
GAZP,0,20121008,104200,158.20000,400
GAZP,0,20121008,104201,158.20000,400
GAZP,0,20121008,104201,158.20000,300
GAZP,0,20121008,104201,158.20000,400
GAZP,0,20121008,104201,158.20000,300
GAZP,0,20121008,104201,158.20000,200
GAZP,0,20121008,104201,158.20000,100
GAZP,0,20121008,104202,158.20000,250
GAZP,0,20121008,104203,158.20000,400
GAZP,0,20121008,104207,158.25000,10
GAZP,0,20121008,104213,158.25000,100
GAZP,0,20121008,104213,158.20000,240
GAZP,0,20121008,104215,158.20000,400
GAZP,0,20121008,104234,158.25000,130
GAZP,0,20121008,104234,158.25000,120
GAZP,0,20121008,104239,158.21000,20
GAZP,0,20121008,104239,158.21000,30
GAZP,0,20121008,104239,158.21000,50
GAZP,0,20121008,104245,158.21000,300
GAZP,0,20121008,104256,158.24000,100
GAZP,0,20121008,104256,158.24000,20
GAZP,0,20121008,104256,158.25000,20
GAZP,0,20121008,104259,158.21000,400
GAZP,0,20121008,104300,158.21000,100
GAZP,0,20121008,104300,158.21000,300
GAZP,0,20121008,104300,158.21000,250
GAZP,0,20121008,104301,158.21000,400
GAZP,0,20121008,104301,158.21000,300
GAZP,0,20121008,104302,158.21000,400
GAZP,0,20121008,104302,158.20000,400
GAZP,0,20121008,104302,158.20000,400
GAZP,0,20121008,104303,158.20000,400
GAZP,0,20121008,104303,158.20000,300
GAZP,0,20121008,104306,158.20000,400
GAZP,0,20121008,104313,158.21000,100
GAZP,0,20121008,104313,158.21000,100
GAZP,0,20121008,104313,158.21000,40
GAZP,0,20121008,104315,158.21000,400
GAZP,0,20121008,104315,158.21000,200
GAZP,0,20121008,104316,158.21000,200
GAZP,0,20121008,104316,158.21000,400
GAZP,0,20121008,104330,158.23000,20
GAZP,0,20121008,104333,158.23000,80
GAZP,0,20121008,104333,158.23000,60
GAZP,0,20121008,104333,158.24000,200
GAZP,0,20121008,104333,158.24000,1500
GAZP,0,20121008,104333,158.24000,300
GAZP,0,20121008,104333,158.25000,290
GAZP,0,20121008,104333,158.25000,280
GAZP,0,20121008,104333,158.26000,860
GAZP,0,20121008,104333,158.26000,280
GAZP,0,20121008,104333,158.26000,200
GAZP,0,20121008,104333,158.27000,160
GAZP,0,20121008,104333,158.27000,280
GAZP,0,20121008,104333,158.27000,1550
GAZP,0,20121008,104333,158.21000,100
GAZP,0,20121008,104336,158.27000,10
GAZP,0,20121008,104351,158.24000,280
GAZP,0,20121008,104351,158.24000,120
GAZP,0,20121008,104351,158.23000,30
GAZP,0,20121008,104351,158.23000,370
GAZP,0,20121008,104355,158.27000,10
GAZP,0,20121008,104356,158.25000,10
GAZP,0,20121008,104356,158.25000,1490
GAZP,0,20121008,104356,158.23000,30
GAZP,0,20121008,104356,158.23000,170
GAZP,0,20121008,104356,158.23000,200
GAZP,0,20121008,104356,158.23000,400
GAZP,0,20121008,104357,158.23000,280
GAZP,0,20121008,104357,158.22000,280
GAZP,0,20121008,104357,158.22000,120
GAZP,0,20121008,104357,158.22000,10
GAZP,0,20121008,104401,158.21000,400
GAZP,0,20121008,104401,158.21000,160
GAZP,0,20121008,104401,158.21000,90
GAZP,0,20121008,104401,158.21000,400
GAZP,0,20121008,104401,158.21000,400
GAZP,0,20121008,104401,158.21000,400
GAZP,0,20121008,104401,158.21000,610
GAZP,0,20121008,104401,158.21000,320
GAZP,0,20121008,104401,158.20000,400
GAZP,0,20121008,104401,158.20000,400
GAZP,0,20121008,104402,158.20000,290
GAZP,0,20121008,104402,158.20000,320
GAZP,0,20121008,104402,158.20000,110
GAZP,0,20121008,104402,158.20000,50
GAZP,0,20121008,104402,158.20000,20
GAZP,0,20121008,104402,158.20000,220
GAZP,0,20121008,104402,158.20000,400
GAZP,0,20121008,104402,158.20000,70
GAZP,0,20121008,104402,158.20000,130
GAZP,0,20121008,104403,158.20000,200
GAZP,0,20121008,104403,158.20000,100
GAZP,0,20121008,104403,158.20000,400
GAZP,0,20121008,104403,158.20000,400
GAZP,0,20121008,104404,158.20000,400
GAZP,0,20121008,104404,158.20000,400
GAZP,0,20121008,104404,158.20000,400
GAZP,0,20121008,104405,158.20000,200
GAZP,0,20121008,104405,158.20000,100
GAZP,0,20121008,104405,158.20000,300
GAZP,0,20121008,104405,158.20000,400
GAZP,0,20121008,104406,158.20000,300
GAZP,0,20121008,104406,158.20000,100
GAZP,0,20121008,104407,158.20000,300
GAZP,0,20121008,104407,158.20000,200
GAZP,0,20121008,104408,158.20000,300
GAZP,0,20121008,104408,158.20000,370
GAZP,0,20121008,104408,158.20000,30
GAZP,0,20121008,104408,158.20000,400
GAZP,0,20121008,104409,158.20000,10
GAZP,0,20121008,104411,158.20000,300
GAZP,0,20121008,104413,158.20000,240
GAZP,0,20121008,104423,158.20000,20
GAZP,0,20121008,104423,158.20000,80
GAZP,0,20121008,104423,158.21000,30
GAZP,0,20121008,104436,158.20000,10
GAZP,0,20121008,104436,158.20000,400
GAZP,0,20121008,104436,158.20000,200
GAZP,0,20121008,104437,158.20000,10
GAZP,0,20121008,104437,158.20000,10
GAZP,0,20121008,104437,158.20000,200
GAZP,0,20121008,104437,158.20000,200
GAZP,0,20121008,104438,158.21000,40
GAZP,0,20121008,104439,158.20000,90
GAZP,0,20121008,104439,158.20000,310
GAZP,0,20121008,104439,158.20000,300
GAZP,0,20121008,104439,158.20000,400
GAZP,0,20121008,104446,158.21000,1000
GAZP,0,20121008,104455,158.21000,150
GAZP,0,20121008,104455,158.21000,50
GAZP,0,20121008,104501,158.20000,110
